Submitter,Submitter Email,Submission Date,Background information: Which workshop did you attend?,Background information: Participation style,Background information: What is your current position?,Impact of the workshop: Would you judge your code to be better reusable/reproducible/modular/documented as a result of attending the workshop?,Impact of the workshop: Which tools/services/workflows have you started using as a result of attending the workshop?,Impact of the workshop: Which tools/services/workflows are you using better than before as a result of attending the workshop?,Impact of the workshop: Which tools/services/workflows are you using in the same way as you did before attending the workshop?,Impact of the workshop: Which tools/services/workflows are you not using?,Impact of the workshop: Has it become easier for you to collaborate on software development with your colleagues and collaborators?,Impact of the workshop: Have you introduced one or more of your colleagues to new tools or practices as a result of the workshop?,Impact of the workshop: Would you recommend your colleagues to attend a CodeRefinery workshop?,Impact of the workshop: What else has changed in how you write code for your research after attending a CodeRefinery workshop?,Impact of the workshop: Do you have any recommendations on how we should change the CodeRefinery curriculum?
,,2021-07-19 14:08:17.793232+00:00,"Online, Nov 2020",Individual learner,Researcher,More reproducible,Version control (e.g. Git); Code review (e.g. via pull requests),Version control (e.g. Git); Code review (e.g. via pull requests),None of the above,Testing (e.g. pytest); Automated testing (e.g Travis CI or GitHub Actions or GitLab CI); Code coverage analysis (e.g. Coveralls); Jupyter Notebooks; Documentation hosting platforms (e.g. Read the Docs or GitHub Pages or GitLab Pages); Workflow management tools (e.g. Snakemake); Containers (e.g. Docker or Singularity); Conda environments and virtual environments,Yes,No,Yes absolutely,,
,,2021-07-13 16:01:36.501749+00:00,"Online, May-June 2020",Team learner (online),Researcher,More reusable; More reproducible; Better documented,Version control (e.g. Git),Version control (e.g. Git),None of the above,Code review (e.g. via pull requests); Testing (e.g. pytest); Automated testing (e.g Travis CI or GitHub Actions or GitLab CI); Code coverage analysis (e.g. Coveralls); Jupyter Notebooks; Documentation hosting platforms (e.g. Read the Docs or GitHub Pages or GitLab Pages); Workflow management tools (e.g. Snakemake); Containers (e.g. Docker or Singularity); Conda environments and virtual environments,Yes,Yes,Yes absolutely,"My code writing is more organised now that I am using Git. I do not end up in a 'what the hell did I code today' state anymore, because I am using Git.",
,,2021-07-07 16:46:20.835430+00:00,"Online, Oct 2020",Individual learner,Postdoc,More modular; Better documented,Documentation hosting platforms (e.g. Read the Docs or GitHub Pages or GitLab Pages),Version control (e.g. Git); Code review (e.g. via pull requests); Jupyter Notebooks,Jupyter Notebooks,Testing (e.g. pytest); Automated testing (e.g Travis CI or GitHub Actions or GitLab CI); Code coverage analysis (e.g. Coveralls); Workflow management tools (e.g. Snakemake); Containers (e.g. Docker or Singularity); Conda environments and virtual environments,Yes,Yes,Yes absolutely,,
,,2021-06-28 08:18:33.473604+00:00,"Stockholm, Nov 2019",Individual learner,Graduate student,None of the above,None of the above,Version control (e.g. Git),None of the above,Code review (e.g. via pull requests); Testing (e.g. pytest); Automated testing (e.g Travis CI or GitHub Actions or GitLab CI); Code coverage analysis (e.g. Coveralls); Jupyter Notebooks; Documentation hosting platforms (e.g. Read the Docs or GitHub Pages or GitLab Pages); Workflow management tools (e.g. Snakemake); Containers (e.g. Docker or Singularity); Conda environments and virtual environments,Yes,No,Probably,,
,,2021-06-28 07:11:17.822805+00:00,"Online, Oct 2020",Individual learner,Graduate student,More reusable; More reproducible,Code review (e.g. via pull requests); Testing (e.g. pytest),Version control (e.g. Git),Jupyter Notebooks; Conda environments and virtual environments,Automated testing (e.g Travis CI or GitHub Actions or GitLab CI); Code coverage analysis (e.g. Coveralls); Workflow management tools (e.g. Snakemake); Containers (e.g. Docker or Singularity),Yes,Yes,Yes absolutely,,
,,2021-06-24 14:34:49.355192+00:00,"Online, Oct 2020",Individual learner,Researcher,More reproducible; Better documented,None of the above,Version control (e.g. Git),None of the above,Code review (e.g. via pull requests); Testing (e.g. pytest); Automated testing (e.g Travis CI or GitHub Actions or GitLab CI); Code coverage analysis (e.g. Coveralls); Documentation hosting platforms (e.g. Read the Docs or GitHub Pages or GitLab Pages); Workflow management tools (e.g. Snakemake); Containers (e.g. Docker or Singularity); Conda environments and virtual environments,Yes,Yes,Yes absolutely,"I haven't written much code afterwards, but I think the course was extremely useful and I think I will benefit from it in the future.",
,,2021-06-23 09:20:17.452835+00:00,"Online, Nov 2020",Team learner (online),Other,More reusable; More reproducible; Better documented,Version control (e.g. Git); Testing (e.g. pytest); Jupyter Notebooks; Conda environments and virtual environments,Version control (e.g. Git); Code review (e.g. via pull requests); Jupyter Notebooks; Documentation hosting platforms (e.g. Read the Docs or GitHub Pages or GitLab Pages),None of the above,Automated testing (e.g Travis CI or GitHub Actions or GitLab CI); Code coverage analysis (e.g. Coveralls); Workflow management tools (e.g. Snakemake); Containers (e.g. Docker or Singularity),Yes,Yes,Yes absolutely,,It's great.
,,2021-06-22 09:59:17.331851+00:00,"Online, May-June 2020",Individual learner,Industry,More reproducible; Better documented,Version control (e.g. Git); Jupyter Notebooks; Documentation hosting platforms (e.g. Read the Docs or GitHub Pages or GitLab Pages); Containers (e.g. Docker or Singularity); Conda environments and virtual environments,Version control (e.g. Git); Code review (e.g. via pull requests); Testing (e.g. pytest); Documentation hosting platforms (e.g. Read the Docs or GitHub Pages or GitLab Pages); Containers (e.g. Docker or Singularity); Conda environments and virtual environments,Jupyter Notebooks,Automated testing (e.g Travis CI or GitHub Actions or GitLab CI); Code coverage analysis (e.g. Coveralls); Workflow management tools (e.g. Snakemake),Yes,Yes,Yes absolutely,I have now learned about 40% of trained content in course. Main reason why not implementing it fully is that mostly my code development is again one-man-show.,"I believe everything is in place, couldn't ask for more."
,,2021-06-22 08:53:49.199199+00:00,"Online, Oct 2020",Individual learner,Graduate student,More reusable,Code review (e.g. via pull requests),Version control (e.g. Git); Code review (e.g. via pull requests); Jupyter Notebooks,None of the above,Testing (e.g. pytest); Automated testing (e.g Travis CI or GitHub Actions or GitLab CI); Documentation hosting platforms (e.g. Read the Docs or GitHub Pages or GitLab Pages); Workflow management tools (e.g. Snakemake); Containers (e.g. Docker or Singularity),Yes,Yes,Yes absolutely,,"maybe include some best practices about how to organize your project, such as using folder structure, packages in sub folder of the project/separate location. Packaging a project with pip and publishing."
,,2021-06-22 07:48:38.606731+00:00,"Online, Nov 2020",Individual learner,Research software engineer / Scientific programmer,More reusable; More reproducible; More modular; Better documented,Version control (e.g. Git); Code review (e.g. via pull requests); Testing (e.g. pytest); Automated testing (e.g Travis CI or GitHub Actions of GitLab CI); Containers (e.g. Docker or Singularity); Conda environments and virtual environments,Version control (e.g. Git); Code review (e.g. via pull requests); Containers (e.g. Docker or Singularity),Jupyter Notebooks,Workflow management tools (e.g. Snakemake),Yes,Yes,Yes absolutely,more focus on right tool for the right job,I would like to see more about containers in a real project:D
