Submitter,Submitter Email,Submission Date,Post-workshop survey: Which workshop did you attend?,Post-workshop survey: What is your current position?,Post-workshop survey: Would you judge your code to be better reusable/reproducible/modular/documented as a result of attending the workshop?,Post-workshop survey: Which tools/services/workflows have you started using as a result of attending the workshop?,Post-workshop survey: Which tools/services/workflows are you using better than before as a result of attending the workshop?,Post-workshop survey: Which tools/services/workflows are you using in the same way as you did before attending the workshop?,Post-workshop survey: Which tools/services/workflows are you not yet using?,Post-workshop survey: Has it become easier for you to collaborate on software development with your colleagues and collaborators?,Post-workshop survey: Have you introduced one or more of your colleagues to new tools or practices as a result of the workshop?,Post-workshop survey: What else has changed in how you write code for your research after attending a CodeRefinery workshop?,Post-workshop survey: Do you have any recommendations on how we should change the CodeRefinery curriculum?
,,2019-04-12 08:42:53.590450+00:00,"Uppsala, Dec 2018",Graduate student,More reproducible; More modular,Version control (e.g. Git); Virtual environments (e.g. conda envs),Version control (e.g. Git); Virtual environments (e.g. conda envs),None of the above,Code review (e.g. via pull requests); Testing (e.g. pytest); Automated testing (e.g Travis CI); Code coverage analysis (e.g. Coveralls); Jupyter Notebooks; Documentation hosting platforms (e.g. Read the Docs or GitHub Pages); Integrated development environments; Workflow systems (Snakemake); Containers (e.g. Docker or Singularity),No,Yes,,
,,2019-04-12 08:45:05.123379+00:00,"Kiruna, Nov 2018",Researcher,More reproducible; Better documented,Code review (e.g. via pull requests); Testing (e.g. pytest); Automated testing (e.g Travis CI); Documentation hosting platforms (e.g. Read the Docs or GitHub Pages); Workflow systems (e.g. Snakemake),Version control (e.g. Git); Code review (e.g. via pull requests),Jupyter Notebooks; Integrated development environments; Virtual environments (e.g. conda envs),Code coverage analysis (e.g. Coveralls); Containers (e.g. Docker or Singularity),Yes,No,,
,,2019-04-12 08:55:10.569568+00:00,"Uppsala, Dec 2018",Researcher,More reusable; More reproducible; Better documented,Testing (e.g. pytest); Automated testing (e.g Travis CI); Documentation hosting platforms (e.g. Read the Docs or GitHub Pages); Workflow systems (e.g. Snakemake); Virtual environments (e.g. conda envs),Version control (e.g. Git); Containers (e.g. Docker or Singularity),Jupyter Notebooks,Code coverage analysis (e.g. Coveralls),Yes,Yes,,"The workshop content and structure is already good! But I would add more examples in context of bioinformatics as a hook in case the workshop is hosted in a mixed university environment (Uppsala University, Stockholm University or Karolinska Institutet for example)"
,,2019-04-12 09:20:32.056977+00:00,"Uppsala, Dec 2018",Research software engineer / Scientific programmer,More reusable; Better documented,Workflow systems (e.g. Snakemake),Version control (e.g. Git); Virtual environments (e.g. conda envs),None of the above,Testing (e.g. pytest); Code coverage analysis (e.g. Coveralls); Jupyter Notebooks; Documentation hosting platforms (e.g. Read the Docs or GitHub Pages); Integrated development environments; Containers (e.g. Docker or Singularity),Yes,Yes,,
,,2019-04-12 09:39:23.997902+00:00,"Uppsala, Dec 2018",Research software engineer / Scientific programmer,More reproducible; Better documented,Version control (e.g. Git); Documentation hosting platforms (e.g. Read the Docs or GitHub Pages),Version control (e.g. Git); Code review (e.g. via pull requests); Documentation hosting platforms (e.g. Read the Docs or GitHub Pages),Virtual environments (e.g. conda envs),Testing (e.g. pytest); Automated testing (e.g Travis CI); Code coverage analysis (e.g. Coveralls); Jupyter Notebooks; Workflow systems (Snakemake); Containers (e.g. Docker or Singularity),Yes,Yes,,For me I would have liked to have a bigger part about workflow system
,,2019-04-12 09:53:33.492717+00:00,"Kiruna, Nov 2018",Research software engineer / Scientific programmer,More reusable; More modular; Better documented,Version control (e.g. Git); Code review (e.g. via pull requests); Documentation hosting platforms (e.g. Read the Docs or GitHub Pages),None of the above,None of the above,Testing (e.g. pytest); Automated testing (e.g Travis CI); Code coverage analysis (e.g. Coveralls); Jupyter Notebooks; Integrated development environments; Workflow systems (Snakemake); Virtual environments (e.g. conda envs),Yes,Yes,,
,,2019-04-12 10:07:06.490469+00:00,"Uppsala, Dec 2018",Graduate student,More reusable; More reproducible; More modular,Jupyter Notebooks; Workflow systems (e.g. Snakemake); Virtual environments (e.g. conda envs),Version control (e.g. Git); Jupyter Notebooks; Virtual environments (e.g. conda envs),None of the above,Code review (e.g. via pull requests); Testing (e.g. pytest); Automated testing (e.g Travis CI); Code coverage analysis (e.g. Coveralls); Documentation hosting platforms (e.g. Read the Docs or GitHub Pages),Yes,No,,
,,2019-04-12 11:01:55.335045+00:00,"Espoo, Dec 2018",Graduate student,More reusable; Better documented,Version control (e.g. Git); Jupyter Notebooks,Version control (e.g. Git),Containers (e.g. Docker or Singularity),Automated testing (e.g Travis CI); Containers (e.g. Docker or Singularity),Yes,Yes,I feel I understand software logic better,Includes more practical
,,2019-04-12 11:14:37.232540+00:00,"Espoo, Dec 2018",Postdoc,More reproducible; More modular; Better documented,Version control (e.g. Git); Workflow systems (e.g. Snakemake),Version control (e.g. Git); Workflow systems (e.g. Snakemake),Jupyter Notebooks,Code review (e.g. via pull requests); Testing (e.g. pytest); Automated testing (e.g Travis CI); Code coverage analysis (e.g. Coveralls); Documentation hosting platforms (e.g. Read the Docs or GitHub Pages); Integrated development environments; Containers (e.g. Docker or Singularity); Virtual environments (e.g. conda envs),Yes,Yes,,
,,2019-04-12 12:01:19.005754+00:00,"Kiruna, Nov 2018",Research software engineer / Scientific programmer,Better documented,Jupyter Notebooks; Containers (e.g. Docker or Singularity); Virtual environments (e.g. conda envs),Version control (e.g. Git); Jupyter Notebooks; Virtual environments (e.g. conda envs),Integrated development environments,Code review (e.g. via pull requests); Testing (e.g. pytest); Automated testing (e.g Travis CI); Code coverage analysis (e.g. Coveralls); Workflow systems (Snakemake),Yes,No,,
