Which workshop did you attend?,What is your current position?,Other,Version control,Automated testing,Travis CI,Code coverage analysis,Jupyter Notebooks,CMake,Integrated development environments,Code review,Read the docs,GitHub/GitLab/BitBucket Pages,Reusable,Reproducible,Modular,Documented,Has it become easier for you to collaborate on software development with your colleagues and collaborators?,Have you introduced one or more of your colleagues to new tools or practices as a result of the workshop?
"Espoo, Finland, December 2016",Researcher,,I'm using this tool better than before, I'm using this tool in the same way as before,I don't use this tool,I don't use this tool, I'm using this tool in the same way as before,I'm using this tool better than before,I'm using this tool better than before,I'm using this tool better than before,I'm using this tool better than before,I'm using this tool better than before,1,1,1,1,0,0
"Copenhagen, Denmark, May 2017",Graduate student,, I'm using this tool in the same way as before,I don't use this tool,I don't use this tool,I don't use this tool,I started using this tool, I'm using this tool in the same way as before,I don't use this tool,I don't use this tool,I don't use this tool, I'm using this tool in the same way as before,,,,,,0
"Stockholm, Sweden, February 2017",Graduate student,,I'm using this tool better than before,I don't use this tool,I don't use this tool,I don't use this tool,I started using this tool,I don't use this tool,I'm using this tool better than before,I don't use this tool, I'm using this tool in the same way as before,I'm using this tool better than before,1,1,1,1,,0
"Espoo, Finland, December 2016",Postdoc,,I don't use this tool,I don't use this tool,I don't use this tool,I don't use this tool,I don't use this tool,I don't use this tool,I'm using this tool better than before,I don't use this tool,I don't use this tool,I don't use this tool,1,1,1,1,0,0
"Copenhagen, Denmark, May 2017",,Technical personal scientific programmer,I'm using this tool better than before,I started using this tool,I don't use this tool,I started using this tool,I started using this tool,I started using this tool,I'm using this tool better than before,I started using this tool,I started using this tool,I started using this tool,1,1,1,0,,1
"Espoo, Finland, December 2016",Undergraduate student,,I'm using this tool better than before,I don't use this tool,I don't use this tool,I don't use this tool,I started using this tool,I don't use this tool,I don't use this tool,I don't use this tool,I don't use this tool,I'm using this tool better than before,1,1,0,1,1,0
"Stockholm, Sweden, February 2017",Graduate student,,I don't use this tool,I don't use this tool,I don't use this tool,I don't use this tool,I'm using this tool better than before,I don't use this tool,I started using this tool,I don't use this tool,I don't use this tool, I'm using this tool in the same way as before,1,1,0,0,0,1
"Stockholm, Sweden, February 2017",Assistant/Associate/Full Professor,,I'm using this tool better than before, I'm using this tool in the same way as before, I'm using this tool in the same way as before, I'm using this tool in the same way as before,I'm using this tool better than before, I'm using this tool in the same way as before,I don't use this tool,I don't use this tool,I don't use this tool,I'm using this tool better than before,1,1,1,1,1,1
"Copenhagen, Denmark, May 2017",Postdoc,,I'm using this tool better than before, I'm using this tool in the same way as before,I don't use this tool,I don't use this tool,I don't use this tool,I started using this tool,I don't use this tool,I don't use this tool,I started using this tool,I started using this tool,1,0,1,0,,0
"Copenhagen, Denmark, May 2017",Graduate student,,I started using this tool,I don't use this tool,I don't use this tool, I'm using this tool in the same way as before,I don't use this tool,I don't use this tool, I'm using this tool in the same way as before,I'm using this tool better than before,I started using this tool,I'm using this tool better than before,1,1,1,0,1,0
"Espoo, Finland, December 2016",Graduate student,,I'm using this tool better than before,I started using this tool,I don't use this tool, I'm using this tool in the same way as before,I'm using this tool better than before,I started using this tool, I'm using this tool in the same way as before,I'm using this tool better than before,I'm using this tool better than before,I don't use this tool,1,1,1,1,1,1
"Espoo, Finland, December 2016",Graduate student,,I'm using this tool better than before,I don't use this tool,I don't use this tool,I started using this tool,I'm using this tool better than before, I'm using this tool in the same way as before, I'm using this tool in the same way as before,I'm using this tool better than before,I started using this tool,I'm using this tool better than before,1,1,1,1,,0
"Stockholm, Sweden, February 2017",Graduate student,,I'm using this tool better than before,I started using this tool,I started using this tool,I started using this tool,I don't use this tool,I don't use this tool,I don't use this tool,I started using this tool,I don't use this tool,I started using this tool,1,1,0,1,1,0
"Stockholm, Sweden, February 2017",Researcher,, I'm using this tool in the same way as before,I started using this tool,I don't use this tool, I'm using this tool in the same way as before, I'm using this tool in the same way as before, I'm using this tool in the same way as before, I'm using this tool in the same way as before,I don't use this tool, I'm using this tool in the same way as before, I'm using this tool in the same way as before,0,0,0,0,0,1
"Stockholm, Sweden, February 2017",,Scientific Programmer at SU,I'm using this tool better than before,I don't use this tool,I don't use this tool,I don't use this tool,I don't use this tool, I'm using this tool in the same way as before,I'm using this tool better than before,I started using this tool,I don't use this tool,I'm using this tool better than before,1,1,1,1,1,1
"Stockholm, Sweden, February 2017",Graduate student,,I'm using this tool better than before,I don't use this tool,I don't use this tool,I don't use this tool,I started using this tool,I don't use this tool,I don't use this tool,I don't use this tool,I don't use this tool,I started using this tool,1,1,1,0,1,1
"Copenhagen, Denmark, May 2017",Graduate student,,I'm using this tool better than before,I don't use this tool,I don't use this tool,I don't use this tool,I started using this tool,I don't use this tool,I started using this tool,I don't use this tool,I don't use this tool,I'm using this tool better than before,1,1,1,1,,1
"Copenhagen, Denmark, May 2017",Postdoc,,I started using this tool,I started using this tool,I don't use this tool,I started using this tool,I'm using this tool better than before,I started using this tool,I'm using this tool better than before,I started using this tool,I started using this tool,I'm using this tool better than before,1,0,1,1,1,1
"Copenhagen, Denmark, May 2017",Assistant/Associate/Full Professor,,I'm using this tool better than before,I don't use this tool,I don't use this tool,I don't use this tool,I don't use this tool,I'm using this tool better than before,I don't use this tool,I don't use this tool,I don't use this tool,I'm using this tool better than before,1,,0,0,1,0
"Copenhagen, Denmark, May 2017",Graduate student,,I'm using this tool better than before,I started using this tool,I don't use this tool,I don't use this tool, I'm using this tool in the same way as before,I don't use this tool,I started using this tool,I don't use this tool,I don't use this tool,I started using this tool,0,1,0,1,,0
"Copenhagen, Denmark, May 2017",Postdoc,,I'm using this tool better than before, I'm using this tool in the same way as before,I don't use this tool, I'm using this tool in the same way as before,I don't use this tool,I'm using this tool better than before,I don't use this tool,I don't use this tool,I don't use this tool,I'm using this tool better than before,1,1,1,0,1,1
"Copenhagen, Denmark, May 2017",Postdoc,,I'm using this tool better than before,I started using this tool,I don't use this tool,I started using this tool,I don't use this tool,I'm using this tool better than before,I'm using this tool better than before,I started using this tool,I started using this tool,I started using this tool,0,0,0,1,1,1
"Espoo, Finland, December 2016",Researcher,,I'm using this tool better than before,I don't use this tool,I don't use this tool,I don't use this tool,I don't use this tool,I don't use this tool, I'm using this tool in the same way as before,I don't use this tool,I don't use this tool, I'm using this tool in the same way as before,1,1,0,1,1,1
