Which workshop did you attend?,What is your current position?,Other,Version control,Automated testing,Travis CI,Code coverage analysis,Jupyter Notebooks,CMake,Integrated development environments,Code review,Read the Docs or GitHub/GitLab/BitBucket Pages,Reusable,Reproducible,Modular,Documented,Has it become easier for you to collaborate on software development with your colleagues and collaborators?,Have you introduced one or more of your colleagues to new tools or practices as a result of the workshop?
"Trondheim, Norway, February 2018",Postdoc,,I started using this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I started using this tool,I don’t use this tool,I don’t use this tool,I started using this tool,I’m using this tool in the same way as before,1,1,1,1,1,1
"Trondheim, Norway, February 2018",Researcher,,I started using this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,1,1,1,1,,0
"Espoo, Finland, December 2017",Graduate student,,I’m using this tool better than before,I’m using this tool better than before,I don’t use this tool,I don’t use this tool,I’m using this tool better than before,I’m using this tool better than before,I’m using this tool in the same way as before,I’m using this tool in the same way as before,I’m using this tool in the same way as before,1,1,1,1,1,0
"Trondheim, Norway, February 2018",,Technician,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,1,1,1,1,1,1
"Turku, Finland, March 2018",Graduate student,,I’m using this tool better than before,I don’t use this tool,I don’t use this tool,I don’t use this tool,I started using this tool,I don’t use this tool,I started using this tool,I don’t use this tool,I’m using this tool in the same way as before,1,1,1,0,1,1
"Turku, Finland, March 2018",Graduate student,,I’m using this tool better than before,I started using this tool,I started using this tool,I started using this tool,I started using this tool,I’m using this tool better than before,I’m using this tool better than before,I don’t use this tool,I’m using this tool better than before,1,1,1,1,1,0
"Trondheim, Norway, February 2018",Graduate student,,I started using this tool,I don’t use this tool,I don’t use this tool,I don’t use this tool,I’m using this tool better than before,I don’t use this tool,I’m using this tool in the same way as before,I started using this tool,I started using this tool,1,1,1,1,,0
"Turku, Finland, March 2018",Graduate student,,I’m using this tool in the same way as before,I started using this tool,I don’t use this tool,I started using this tool,I’m using this tool in the same way as before,I don’t use this tool,I’m using this tool in the same way as before,I’m using this tool in the same way as before,I don’t use this tool,0,0,1,0,,0
"Turku, Finland, March 2018",Researcher,,I started using this tool,I started using this tool,I don’t use this tool,I started using this tool,I started using this tool,I started using this tool,I started using this tool,I don’t use this tool,I started using this tool,1,1,1,1,1,1
"Turku, Finland, March 2018",Graduate student,,I’m using this tool better than before,I don’t use this tool,I don’t use this tool,I don’t use this tool,I’m using this tool in the same way as before,I’m using this tool in the same way as before,I’m using this tool better than before,I don’t use this tool,I’m using this tool in the same way as before,0,1,0,0,0,1
